Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
15-19 años;TOTAL;Mujeres;2007;1132282
15-19 años;TOTAL;Mujeres;2006;1140164
15-19 años;TOTAL;Mujeres;2005;1153224
15-19 años;TOTAL;Mujeres;2004;1166377
15-19 años;TOTAL;Mujeres;2003;1189972
15-19 años;TOTAL;Mujeres;2002;1218803
15-19 años;TOTAL;Mujeres;2001;1256845
15-19 años;TOTAL;Mujeres;2000;1307638
15-19 años;TOTAL;Mujeres;1999;1366633
15-19 años;TOTAL;Mujeres;1998;1429601
20-24 años;TOTAL;Hombres;2020;1207902
20-24 años;TOTAL;Hombres;2019;1177825
20-24 años;TOTAL;Hombres;2018;1166902
20-24 años;TOTAL;Hombres;2017;1169260
20-24 años;TOTAL;Hombres;2016;1181459
20-24 años;TOTAL;Hombres;2015;1199353
20-24 años;TOTAL;Hombres;2014;1225875
20-24 años;TOTAL;Hombres;2013;1257866
20-24 años;TOTAL;Hombres;2012;1290015
20-24 años;TOTAL;Hombres;2011;1326358
20-24 años;TOTAL;Hombres;2010;1371030
20-24 años;TOTAL;Hombres;2009;1421538
20-24 años;TOTAL;Hombres;2008;1451460
20-24 años;TOTAL;Hombres;2007;1457797
20-24 años;TOTAL;Hombres;2006;1504389
20-24 años;TOTAL;Hombres;2005;1553976
20-24 años;TOTAL;Hombres;2004;1583540
20-24 años;TOTAL;Hombres;2003;1642044
20-24 años;TOTAL;Hombres;2002;1667092
20-24 años;TOTAL;Hombres;2001;1683316
20-24 años;TOTAL;Hombres;2000;1690846
20-24 años;TOTAL;Hombres;1999;1715743
20-24 años;TOTAL;Hombres;1998;1711858
20-24 años;TOTAL;Mujeres;2020;1152765
20-24 años;TOTAL;Mujeres;2019;1127478
20-24 años;TOTAL;Mujeres;2018;1121194
20-24 años;TOTAL;Mujeres;2017;1124077
20-24 años;TOTAL;Mujeres;2016;1135522
20-24 años;TOTAL;Mujeres;2015;1155245
20-24 años;TOTAL;Mujeres;2014;1183648
20-24 años;TOTAL;Mujeres;2013;1218243
20-24 años;TOTAL;Mujeres;2012;1248883
20-24 años;TOTAL;Mujeres;2011;1284899
20-24 años;TOTAL;Mujeres;2010;1324193
20-24 años;TOTAL;Mujeres;2009;1364287
20-24 años;TOTAL;Mujeres;2008;1387678
20-24 años;TOTAL;Mujeres;2007;1397048
20-24 años;TOTAL;Mujeres;2006;1432204
20-24 años;TOTAL;Mujeres;2005;1477657
20-24 años;TOTAL;Mujeres;2004;1510342
20-24 años;TOTAL;Mujeres;2003;1560550
20-24 años;TOTAL;Mujeres;2002;1582506
20-24 años;TOTAL;Mujeres;2001;1605489
20-24 años;TOTAL;Mujeres;2000;1619889
20-24 años;TOTAL;Mujeres;1999;1639134
20-24 años;TOTAL;Mujeres;1998;1641868
25-29 años;TOTAL;Hombres;2020;1308197
25-29 años;TOTAL;Hombres;2019;1295737
25-29 años;TOTAL;Hombres;2018;1287532
25-29 años;TOTAL;Hombres;2017;1289737
25-29 años;TOTAL;Hombres;2016;1311613
25-29 años;TOTAL;Hombres;2015;1350302
25-29 años;TOTAL;Hombres;2014;1407918
25-29 años;TOTAL;Hombres;2013;1484299
25-29 años;TOTAL;Hombres;2012;1573691
25-29 años;TOTAL;Hombres;2011;1662639
25-29 años;TOTAL;Hombres;2010;1758840
25-29 años;TOTAL;Hombres;2009;1849833
25-29 años;TOTAL;Hombres;2008;1915080
25-29 años;TOTAL;Hombres;2007;1926676
25-29 años;TOTAL;Hombres;2006;1974135
25-29 años;TOTAL;Hombres;2005;1986840
25-29 años;TOTAL;Hombres;2004;1951669
25-29 años;TOTAL;Hombres;2003;1926047
25-29 años;TOTAL;Hombres;2002;1860947
25-29 años;TOTAL;Hombres;2001;1785834
25-29 años;TOTAL;Hombres;2000;1717199
25-29 años;TOTAL;Hombres;1999;1671530
25-29 años;TOTAL;Hombres;1998;1651699
25-29 años;TOTAL;Mujeres;2020;1275776
25-29 años;TOTAL;Mujeres;2019;1270624
25-29 años;TOTAL;Mujeres;2018;1269682
25-29 años;TOTAL;Mujeres;2017;1277521
25-29 años;TOTAL;Mujeres;2016;1305071
25-29 años;TOTAL;Mujeres;2015;1345328
25-29 años;TOTAL;Mujeres;2014;1400803
25-29 años;TOTAL;Mujeres;2013;1468837
25-29 años;TOTAL;Mujeres;2012;1541820
25-29 años;TOTAL;Mujeres;2011;1611628
25-29 años;TOTAL;Mujeres;2010;1685595
25-29 años;TOTAL;Mujeres;2009;1751934
25-29 años;TOTAL;Mujeres;2008;1799545
25-29 años;TOTAL;Mujeres;2007;1809995
25-29 años;TOTAL;Mujeres;2006;1843581
25-29 años;TOTAL;Mujeres;2005;1855524
25-29 años;TOTAL;Mujeres;2004;1835667
25-29 años;TOTAL;Mujeres;2003;1813725
25-29 años;TOTAL;Mujeres;2002;1765377
25-29 años;TOTAL;Mujeres;2001;1707925
25-29 años;TOTAL;Mujeres;2000;1658582
25-29 años;TOTAL;Mujeres;1999;1612553
25-29 años;TOTAL;Mujeres;1998;1604163
30-34 años;TOTAL;Hombres;2020;1421558
30-34 años;TOTAL;Hombres;2019;1429731
30-34 años;TOTAL;Hombres;2018;1453495
30-34 años;TOTAL;Hombres;2017;1508094
30-34 años;TOTAL;Hombres;2016;1585077
30-34 años;TOTAL;Hombres;2015;1678351
30-34 años;TOTAL;Hombres;2014;1783461
30-34 años;TOTAL;Hombres;2013;1908998
30-34 años;TOTAL;Hombres;2012;2012090
30-34 años;TOTAL;Hombres;2011;2088902
30-34 años;TOTAL;Hombres;2010;2140960
30-34 años;TOTAL;Hombres;2009;2173755
30-34 años;TOTAL;Hombres;2008;2149227
30-34 años;TOTAL;Hombres;2007;2084538
30-34 años;TOTAL;Hombres;2006;2048188
30-34 años;TOTAL;Hombres;2005;1993837
30-34 años;TOTAL;Hombres;2004;1909883
30-34 años;TOTAL;Hombres;2003;1866097
30-34 años;TOTAL;Hombres;2002;1797024
30-34 años;TOTAL;Hombres;2001;1731686
30-34 años;TOTAL;Hombres;2000;1678225
30-34 años;TOTAL;Hombres;1999;1645484
30-34 años;TOTAL;Hombres;1998;1633130
30-34 años;TOTAL;Mujeres;2020;1417845
30-34 años;TOTAL;Mujeres;2019;1430659
30-34 años;TOTAL;Mujeres;2018;1455566
30-34 años;TOTAL;Mujeres;2017;1504801
30-34 años;TOTAL;Mujeres;2016;1569636
30-34 años;TOTAL;Mujeres;2015;1649802
30-34 años;TOTAL;Mujeres;2014;1736828
