periodo,tramo,pensionistas
2008,"De 900,00 a 1000,00",
2008,"De 900,01 a 949,99",
2008,"De 900,01 a 964,99",
2008,"De 900,01 a 1.000,00",211976.33
2008,"De 950,00 a 1.000,00",
2008,"De 965,00 a 1.000,00",
2008,"De 1.000,01 a 1.100,00",194109
2008,"De 1.100,01 a 1.200,00",182007
2008,"De 1.200,01 a 1.300,00",145525.58
2008,"De 1.300,01 a 1.400,00",124031
2008,"De 1.400,01 a 1.500,00",114744
2008,"De 1.500,01 a 1.600,00",108577.5
2008,"De 1.600,01 a 1.700,00",83700.58
2008,"De 1.700,01 a 1.800,00",73474.67
2008,"De 1.800,01 a 1.900,00",57311.83
2008,"De 1.900,01 a 2.000,00",45194.92
2008,"De 2.000,01 a 2.100,00",37990.08
2008,"De 2.100,01 a 2.200,00",35447.83
2008,"De 2.200,01 a 2.300,00",27099.08
2008,"De 2.300,01 a 2.400,00",
2008,"De 2.400,01 a 2.548,10",
2008,"De 2.400,01 a 2.522,87",
2008,"De 2.400,01 a 2.497,89",
2008,"De 2.400,01 a 2.466,18",
2008,"De 2.400,01 a 2.441,73",
2008,"De 2.300,01 a 2.384,49",20854
2008,"De 2.200,01 a 2.290,57",
2008,"De 2.100,01 a 2.232,52",
2008,"De 2.400,01 a 2.554,47",
2008,"De 2.400,01 a 2.560,86",
2008,"De 2.100,01 a 2.159,10",
2008,"De 2.400,01 a 2.567,26",
2008,"De 2.400,01 a 2.500,00",
2008,"De 2.548,11 a 2.548,13",
2008,"De 2.522,88 a 2.522,90",
2008,"De 2.497,90 a 2.497,92",
2008,"De 2.466,19 a 2.466,21",
2008,"De 2.441,74 a 2.441,76",
2008,"De 2.384,50 a 2.384,52",80697.5
2008,"De 2.290,58 a 2.290,60",
2008,"De 2.232,53 a 2.232,55",
2008,"De 2.554,48 a 2.554,50",
2008,"De 2.560,87 a 2.560,89",
2008,"De 2.159,11 a 2.159,13",
2008,"De 2.567,27 a 2.567,29",
2008,"De 2.500,01 a 2.573,68",
2008,"De 2.500,01 a 2.580,11",
2008,"De 2.500,01 a 2.600,00",
2008,"Más de 2.548,13 euros",
2008,"Más de 2.522,90 euros",
2008,"Más de 2.497,92 euros",
2008,"Más de 2.466,21 euros",
2008,"Más de 2.441,76 euros",
2008,"Más de 2.384,52 euros",2450.33
2008,"Más de 2.290,60 euros",
2008,"Más de 2.232,55 euros",
2008,"Más de 2.554,50 euros",
